COURSE PER BUILDING REPORT,,,,,,,,
UNIVERSITY OF SAN CARLOS,,,,,,,,
PERIOD: 2nd SEMESTER SY 2018 - 2019,,,,,,,,
,,,,,,,,
COURSE TITLE,COURSE DESCRIPTION,GROUP #,ENROLLED STUDENTS,,COURSE STATUS,SCHEDULE,,
CAD 1,COMPUTER-AIDED DESIGN I,4,30,,REGULAR,TTh (05:30 PM) - (08:00 PM) AF110               ,,
CAD 2,COMPUTER AIDED DESIGN 2,1,30,,PETITION,MW (10:30 AM) - (01:00 PM) AF111               ,,
CAD LA1,ADVANCE FORMAL PRESENTATION TECHNIQUE (CAD),1,0,,DISSOLVED,F (07:30 AM) - (12:30 PM) 1B06                ,,
CAFA RES,CAFA RESIDENCY,1,7,,REGULAR,F (09:30 AM) - (10:30 AM) AF209               ,,
CIN 212,BASIC SCREENWRITING,1,0,,TUTORIAL,Sat (08:00 AM) - (01:00 PM) AF306TC             ,,
CIN 421,THESIS FILM PROJECT 2,1,42,,REGULAR,TTh (01:30 PM) - (05:30 PM) AF1B05TC            ,,
CIN 651,THESIS WRITING 2,1,2,,TUTORIAL,Sat (08:30 AM) - (11:30 AM) AF215TC             ,,
CIN ELEC3,SINEKULTURA 3,1,1,,TUTORIAL,W (12:30 PM) - (03:30 PM) 1B10c               ,,
COMM 02,READING AND WRITING SKILLS,1,39,,BLOCKSECTION,MWF (10:30 AM) - (11:30 AM) AFCB4TC             ,,
COMM 02,READING AND WRITING SKILLS,13,41,,BLOCKSECTION,MW (09:00 AM) - (10:30 AM) AF211TC             ,,
DES 10,ARCHITECTURAL DESIGN 10,1,44,,REGULAR,TTh (12:00 PM) - (06:30 PM) 1B12a               ,,
DES 6,ARCHITECTURAL DESIGN 6,1,23,,PETITION,TTh (01:30 PM) - (06:30 PM) 1B10c               ,,
DES 7,ARCHITECTURAL DESIGN 7,1,51,,REGULAR,TTh (01:30 PM) - (06:30 PM) 1B12b               ,,
DES 7,ARCHITECTURAL DESIGN 7,2,49,,REGULAR,TTh (01:30 PM) - (06:30 PM) 1B12c               ,,
DES 7,ARCHITECTURAL DESIGN 7,3,0,,REGULAR,TTh (01:30 PM) - (06:30 PM) 1B10a               ,,
DES 7,ARCHITECTURAL DESIGN 7,4,0,,REGULAR,TTh (01:30 PM) - (06:30 PM) 2B07c               ,,
DES 9,ARCHITECTURAL DESIGN 9,1,44,,REGULAR,MW (02:30 PM) - (05:30 PM) 1B12b               F (02:30 PM) - (06:30 PM) 1B12b               ,,
DES 9,ARCHITECTURAL DESIGN 9,2,45,,REGULAR,MW (02:30 PM) - (05:30 PM) 1B12a               F (02:30 PM) - (06:30 PM) 1B12a               ,,
DES 9,ARCHITECTURAL DESIGN 9,3,44,,REGULAR,MW (02:30 PM) - (05:30 PM) 1B10a               F (02:30 PM) - (06:30 PM) 1B10a               ,,
