Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/02  19:00:00,29.625,66039.70237025661 
 04/02  20:00:00,29.325,35491.23398148313 
 04/02  21:00:00,28.96666666666667,8759.166807081801 
 04/02  22:00:00,28.566666666666668,8476.618738053805 
 04/02  23:00:00,28.166666666666669,8330.650714934478 
 04/02  24:00:00,27.766666666666667,8217.454108078653 
 04/03  01:00:00,27.308333333333335,8086.572339159125 
 04/03  02:00:00,26.866666666666665,7997.643237509433 
 04/03  03:00:00,26.46666666666667,7856.739438873757 
 04/03  04:00:00,26.008333333333338,7706.746550029827 
 04/03  05:00:00,25.566666666666668,7548.435954148369 
 04/03  06:00:00,25.75,7493.855027100969 
 04/03  07:00:00,26.525000000000003,7626.61006796639 
 04/03  08:00:00,27.541666666666669,25036.657335514315 
 04/03  09:00:00,28.583333333333333,85882.19139291912 
 04/03  10:00:00,29.46666666666667,111519.01347510483 
 04/03  11:00:00,30.150000000000003,129776.06026840325 
 04/03  12:00:00,30.516666666666667,163847.059102615 
 04/03  13:00:00,30.599999999999999,162921.88611057588 
 04/03  14:00:00,30.483333333333336,163378.43582365593 
 04/03  15:00:00,30.166666666666669,168330.21903838987 
 04/03  16:00:00,29.766666666666667,129906.43804463784 
 04/03  17:00:00,29.308333333333335,72490.39201901305 
 04/03  18:00:00,28.808333333333335,52488.822461745636 
 04/03  19:00:00,28.366666666666665,22846.260157107306 
 04/03  20:00:00,27.90833333333333,9177.332401481863 
 04/03  21:00:00,27.583333333333333,8713.34751623778 
 04/03  22:00:00,27.441666666666668,8266.529819535617 
 04/03  23:00:00,27.28333333333333,8232.505672357904 
 04/03  24:00:00,27.083333333333333,8198.082440398712 
 04/04  01:00:00,26.941666666666668,8165.15441855049 
 04/04  02:00:00,26.78333333333333,8130.763039173336 
 04/04  03:00:00,26.583333333333333,8094.038970043291 
 04/04  04:00:00,26.441666666666668,8056.658686707076 
 04/04  05:00:00,26.28333333333333,8024.888863735935 
 04/04  06:00:00,26.316666666666668,8006.66002188201 
 04/04  07:00:00,26.691666666666668,8054.779131624297 
 04/04  08:00:00,27.308333333333335,23195.272163435216 
 04/04  09:00:00,28.241666666666665,103142.26145088986 
 04/04  10:00:00,29.28333333333333,133742.98139963268 
 04/04  11:00:00,30.108333333333336,156217.45738396247 
 04/04  12:00:00,30.400000000000003,160953.9405014447 
 04/04  13:00:00,30.28333333333333,165353.72514950505 
 04/04  14:00:00,30.083333333333333,176476.22478167155 
 04/04  15:00:00,29.941666666666668,161601.336113135 
 04/04  16:00:00,29.78333333333333,169741.07833894067 
 04/04  17:00:00,29.583333333333333,157399.80071666727 
 04/04  18:00:00,29.325,88049.49018309103 
 04/04  19:00:00,28.96666666666667,62555.40975771065 
 04/04  20:00:00,28.566666666666668,44503.404530689884 
 04/04  21:00:00,28.224999999999999,8285.620710265659 
 04/04  22:00:00,27.925,8254.291469494974 
 04/04  23:00:00,27.566666666666668,8215.574813144287 
 04/04  24:00:00,27.400000000000003,8185.179935414541 
 04/05  01:00:00,27.458333333333333,8175.671481436955 
 04/05  02:00:00,27.5,8167.964202940338 
 04/05  03:00:00,27.208333333333333,8143.005063325784 
 04/05  04:00:00,26.766666666666667,8091.814542267354 
 04/05  05:00:00,26.308333333333335,8031.682478190724 
 04/05  06:00:00,26.333333333333333,8002.807075145128 
 04/05  07:00:00,26.849999999999999,8035.183267868786 
 04/05  08:00:00,27.625,29201.226755276617 
 04/05  09:00:00,28.583333333333333,80920.03670198922 
 04/05  10:00:00,29.46666666666667,141938.97850171766 
 04/05  11:00:00,30.09166666666667,137465.4476640106 
 04/05  12:00:00,30.183333333333335,138196.24704957367 
 04/05  13:00:00,29.866666666666665,148523.55132861497 
 04/05  14:00:00,29.46666666666667,155104.14094995435 
 04/05  15:00:00,29.183333333333335,127920.2602964262 
 04/05  16:00:00,29.041666666666669,117168.21232443305 
 04/05  17:00:00,28.941666666666668,110126.92480352005 
