value;temp
-0.523577901;25.78
-0.526924495;24.82
-0.525105931;25.10
-0.519723233;26.53
-1.525665133;28.13
-11.61787427;29.33
-11.12030157;30.05
-11.41597539;30.59
-11.6773611;31.09
-11.81472022;31.48
-11.9558599;31.66
-11.87013084;31.64
-11.0014023;31.43
-10.73169414;31.01
-5.053846152;30.39
-3.465094031;29.75
-2.312820731;29.09
-0.525032559;28.68
-0.527579808;28.54
-0.526878607;28.38
-0.527638688;28.24
-0.52912127;27.31
-0.569181727;26.87
-0.596892197;26.47
-0.609393838;26.01
-0.592576196;25.57
-0.56106101;25.75
-0.560441779;26.53
-1.714207831;27.54
-14.58064219;28.58
-12.18048683;29.47
-11.83189351;30.15
-12.0177044;30.52
-12.14810852;30.60
-11.96896305;30.48
-11.28847786;30.17
-9.500798567;29.77
-8.561577443;29.31
-2.826266169;28.81
-1.246534202;28.37
-0.5601465;27.91
-0.563789287;27.58
-0.56471262;27.44
-0.563387636;27.28
-0.563547849;27.08
-0.541292391;27.83
-0.544989654;27.58
-0.549464606;27.44
-0.553506991;27.40
-0.55831931;27.34
-0.56009386;27.53
-0.560510557;28.05
-2.304263121;28.71
-13.03196179;29.35
-12.67953222;30.01
-12.76409948;30.59
-12.64150399;31.03
-12.93629125;31.32
-11.95749412;31.28
-11.12483611;30.79
-9.52135155;30.03
-9.020840689;29.23
-2.836699729;28.61
-1.257988272;28.28
-0.535003664;28.03
-0.532555996;27.90
-0.534312773;27.90
-0.536343292;27.90
-0.538308547;27.84
-0.547265584;27.38
-0.549301304;27.62
-0.553343183;27.47
-0.554758904;27.13
-0.557221822;26.77
-0.556577574;27.07
-0.55504125;27.93
-0.554510296;28.83
-0.544935372;29.43
-0.538754587;29.78
-0.536859293;30.08
-0.53627758;30.32
-0.533103325;30.52
-0.527853351;30.72
-0.519193313;30.98
-0.514078076;31.10
-0.512418609;31.04
-0.515987364;30.65
-0.524979846;29.93
-0.529317888;29.19
-0.530167652;28.73
-0.523856898;28.37
-0.52063197;28.03
-0.518561272;27.73
-0.528565794;28.14
-0.529625486;28.04
-0.530907353;27.88
-0.531568692;27.74
-0.531562642;27.58
-0.532629124;27.91
-0.541448611;28.67
-2.148993987;29.47
-12.56315033;29.98
-11.87898352;30.28
-11.88762179;30.52
-12.035532;30.83
-12.41232343;31.18
-11.55870109;31.42
-10.8087894;31.38
-9.191302815;31.07
-8.52786146;30.61
-2.728030268;30.05
-1.235515212;29.51
-0.533390879;29.01
-0.535201079;28.74
-0.533886692;28.58
-0.532512198;28.44
-0.532084861;28.28
-0.56449134;26.94
-0.56486885;26.78
-0.566260573;26.58
-0.565700087;26.44
-0.565114134;26.28
-0.563072317;26.32
-0.569665546;26.69
-1.842037019;27.31
-9.941517905;28.24
-9.450981479;29.28
-11.05650276;30.11
-10.65156515;30.40
-11.26217064;30.28
-11.30457621;30.08
-11.50060876;29.94
-10.56064696;29.78
-9.784008867;29.58
-4.627419248;29.33
-3.241741089;28.97
-1.952497749;28.57
-0.553667789;28.23
-0.555522098;27.93
-0.558083141;27.57
-0.561986575;27.40
-0.540303336;27.80
-0.543131541;27.80
-0.547582902;27.51
-0.552336089;27.07
-0.557281379;26.61
-0.558207258;26.63
-0.558763205;27.09
-1.794340321;27.65
-10.54958683;28.19
-9.608581;28.69
