temp;value
31.08;1.08808574
30.88;0.995285909
30.63;0.693507019
30.33;0.717071975
30.03;1.159376352
29.67;1.630328848
29.33;1.345040348
29.03;1.53527866
28.67;1.516536926
28.33;1.495764322
28.08;1.631472698
27.01;1.811263012
26.45;1.837366911
26.14;1.941077224
26.10;2.107203655
26.04;2.216382826
26.53;2.135612125
27.54;4.386983135
28.58;23.31925666
29.41;-5.531798539
29.99;-4.790851103
30.43;-0.486961166
30.83;17.11058194
31.18;12.43629271
31.36;5.395180358
31.23;-3.519391331
30.87;-5.356278989
30.41;-14.17911559
29.91;1.548729187
29.35;-6.558873608
28.81;-2.860941153
28.31;3.361224722
27.75;0.821615426
27.21;0.819331716
27.12;0.930120067
27.16;1.305126862
27.26;1.406358118
26.72;1.420874199
25.78;1.542698441
24.82;1.776937864
25.10;1.735783958
26.53;3.283750485
28.13;20.29151688
29.33;-0.828102546
30.05;-2.869420355
30.59;-0.192599526
31.09;10.96251012
31.48;10.70529583
31.66;3.730434179
31.64;-4.061621493
31.43;-1.480734128
31.01;-3.079337179
30.39;19.36512338
29.75;7.404942301
29.09;-0.901446671
28.68;3.835652128
28.54;0.970895539
28.38;0.980856908
28.24;1.099369637
27.31;2.311803342
26.87;2.124949961
26.47;2.150207968
26.01;2.27780396
25.57;2.372744844
25.75;3.097769875
26.53;5.318592658
27.54;20.95190145
28.58;-26.14748946
29.47;-11.80436629
30.15;-5.400561822
30.52;-0.839283716
30.60;1.559273865
30.48;5.212844907
30.17;2.926115535
29.77;6.289099571
29.31;9.647326673
28.81;27.05133776
28.37;20.13564137
27.91;12.53837311
27.58;8.542086427
27.44;2.55907309
27.28;2.026084409
27.08;1.941602474
27.83;1.712292488
27.58;1.842200069
27.44;1.851521282
27.40;1.906345728
27.34;1.852220723
27.53;1.81026706
28.05;3.399457348
28.71;12.0115032
29.35;-35.8028653
30.01;-16.74594428
30.59;-10.10831588
31.03;-3.611734108
31.32;5.167825844
31.28;7.773803341
30.79;3.454632843
30.03;16.37306485
29.23;16.01214988
28.61;28.81643739
28.28;14.40193863
28.03;9.948542142
27.90;3.138350586
27.90;2.424050869
27.90;2.250961755
27.84;2.252182251
27.38;0.836402645
27.62;0.85250102
27.47;0.919439413
27.13;0.96411075
26.77;1.168871854
27.07;0.948186158
27.93;1.131479871
28.83;3.313641489
29.43;11.06867093
29.78;11.15611684
30.08;12.74408079
30.32;11.72078963
30.52;11.43126623
30.72;10.46791631
30.98;10.39727929
31.10;8.298167756
31.04;6.957690739
30.65;5.742673608
29.93;3.781823793
29.19;0.560838678
28.73;0.643013153
28.37;0.688009506
28.03;0.683055422
27.73;0.787567261
28.14;1.104775137
28.04;1.166943213
27.88;1.18226092
27.74;1.307466323
27.58;1.217389056
27.91;1.262978414
28.67;3.151318513
29.47;23.68949929
29.98;-16.16661816
30.28;2.586318792
30.52;5.348459659
30.83;10.6180819
31.18;11.32302017
31.42;19.29055065
31.38;15.78551745
31.07;-18.25396215
30.61;-38.46872555
30.05;-9.527514792
29.51;-1.311783302
29.01;4.863172301
28.74;2.673263158
28.58;2.744806512
28.44;2.757361581
28.28;2.883301034
26.94;1.906155911
26.78;1.817692342
26.58;2.172246816
26.44;2.244283155
26.28;2.03532991
26.32;2.014569086
26.69;3.481406209
27.31;23.57756048
28.24;10.61936049
29.28;8.670985129
30.11;17.45653154
30.40;21.26057371
30.28;25.0560848
30.08;27.39576955
29.94;17.33758898
29.78;11.01373024
29.58;14.55812438
29.33;19.94826102
28.97;18.22229054
28.57;16.87659569
28.23;11.63001564
27.93;2.624584985
27.57;2.380686509
27.40;2.393190372
27.80;2.253777293
27.80;2.301256002
27.51;2.550709033
27.07;2.49275579
26.61;2.548844915
26.63;2.474319059
27.09;4.967132563
