Date/Time,Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/10  16:00:00,200908.3461608767 
 04/10  17:00:00,167235.62401263277 
 04/10  18:00:00,54799.29756637646 
 04/10  19:00:00,24693.06525680446 
 04/10  20:00:00,8086.4045357297255 
 04/10  21:00:00,7543.335778544159 
 04/10  22:00:00,7024.028494119816 
 04/10  23:00:00,6915.924738266494 
 04/10  24:00:00,6785.50613956842 
 04/11  01:00:00,6654.861066844914 
 04/11  02:00:00,6545.698434306385 
 04/11  03:00:00,6342.902402911927 
 04/11  04:00:00,6079.6980210265865 
 04/11  05:00:00,5804.199211339362 
 04/11  06:00:00,5714.766748019175 
 04/11  07:00:00,5927.122006281638 
 04/11  08:00:00,22468.181993355043 
 04/11  09:00:00,146674.15706243114 
 04/11  10:00:00,181872.94757785699 
 04/11  11:00:00,185022.42259888244 
 04/11  12:00:00,180461.73458980336 
 04/11  13:00:00,180484.2503952595 
 04/11  14:00:00,203264.1935064987 
 04/11  15:00:00,224074.41440462668 
 04/11  16:00:00,218752.26981140677 
 04/11  17:00:00,200254.35112229677 
 04/11  18:00:00,97568.20169246911 
 04/11  19:00:00,63980.030751065824 
 04/11  20:00:00,38272.052093572245 
 04/11  21:00:00,7124.960186131474 
 04/11  22:00:00,6871.2966766965155 
 04/11  23:00:00,6598.453390281503 
 04/11  24:00:00,6338.290224234345 
 04/12  01:00:00,6088.247754811176 
 04/12  02:00:00,5836.374246352424 
 04/12  03:00:00,5638.622018610292 
 04/12  04:00:00,5510.861407322259 
 04/12  05:00:00,5388.432472623089 
 04/12  06:00:00,5537.343220578822 
 04/12  07:00:00,6117.470734330488 
 04/12  08:00:00,24328.323921518546 
 04/12  09:00:00,158788.1447696607 
 04/12  10:00:00,166290.05291721913 
 04/12  11:00:00,166196.0313352771 
 04/12  12:00:00,169052.71121557643 
 04/12  13:00:00,173595.96112140045 
 04/12  14:00:00,188054.1729490872 
 04/12  15:00:00,206331.61112288107 
 04/12  16:00:00,193928.5143084526 
 04/12  17:00:00,155958.47265004426 
 04/12  18:00:00,56926.532908437795 
 04/12  19:00:00,30165.41268015911 
 04/12  20:00:00,18075.082929087006 
 04/12  21:00:00,12534.390715077725 
 04/12  22:00:00,7065.6010561449 
 04/12  23:00:00,6941.045982846504 
 04/12  24:00:00,6691.1957233747335 
 04/13  01:00:00,6300.519478429727 
 04/13  02:00:00,5892.398027556005 
 04/13  03:00:00,5604.170223104659 
 04/13  04:00:00,5402.434260435147 
 04/13  05:00:00,5218.7950073329 
 04/13  06:00:00,5313.533805771808 
 04/13  07:00:00,5849.787291422057 
 04/13  08:00:00,6527.698144092587 
 04/13  09:00:00,163899.07181950703 
 04/13  10:00:00,198702.9409542828 
 04/13  11:00:00,202462.50968001385 
 04/13  12:00:00,186332.60454945084 
 04/13  13:00:00,88684.40810390927 
 04/13  14:00:00,88088.80037334726 
 04/13  15:00:00,89414.21914965118 
 04/13  16:00:00,82003.54351825785 
 04/13  17:00:00,69493.19043220855 
 04/13  18:00:00,47264.168316734664 
 04/13  19:00:00,25805.39073030827 
 04/13  20:00:00,19491.365228722436 
 04/13  21:00:00,16656.006727275853 
