Date/Time,AF305DAYLIGHTCONTROL:Daylighting Reference Point 1 Illuminance [lux](Hourly),AF305DAYLIGHTCONTROL:Daylighting Reference Point 2 Illuminance [lux](Hourly),Whole Building:Facility Total Electric Demand Power [W](Hourly) 
 04/02  10:00:00,793.4085758600022,520.5505221495836,138194.83008806438 
 04/02  11:00:00,616.0834095616277,416.4789188114489,149631.40058230633 
 04/02  12:00:00,425.5742406541872,298.45214842209608,145059.99794116347 
 04/02  13:00:00,406.99439257734977,279.0996142993586,142681.86094603037 
 04/02  14:00:00,476.0402531590575,309.0670967729962,161564.23510839497 
 04/02  15:00:00,481.0277226211072,300.8281609824698,177821.86571186 
 04/02  16:00:00,400.2401955380392,245.6650463143665,171714.75205710787 
 04/02  17:00:00,262.5285673311853,159.99471435242359,165916.81550399538 
 04/02  18:00:00,43.64803867030128,26.165103808054075,87304.61690481898 
 04/02  19:00:00,0.0,0.0,56939.76774962491 
 04/02  20:00:00,0.0,0.0,39978.37997465254 
 04/02  21:00:00,0.0,0.0,6272.268046669947 
 04/02  22:00:00,0.0,0.0,7765.132172006885 
 04/02  23:00:00,0.0,0.0,7681.031259517281 
 04/02  24:00:00,0.0,0.0,7631.156083105201 
 04/03  01:00:00,0.0,0.0,7587.312882000894 
 04/03  02:00:00,0.0,0.0,7550.61399291001 
 04/03  03:00:00,0.0,0.0,7508.421982048788 
 04/03  04:00:00,0.0,0.0,7471.772514629291 
 04/03  05:00:00,0.0,0.0,7435.1799363867285 
 04/03  06:00:00,26.323447404880978,17.328686520720138,7425.020873436456 
 04/03  07:00:00,237.8961327305842,161.38899425196204,7487.624501053695 
 04/03  08:00:00,533.7202085280176,347.8662192378899,12863.409699319274 
 04/03  09:00:00,783.2034230749096,506.3038164182728,130374.85463024397 
 04/03  10:00:00,799.0174869240562,523.9063626377185,141824.41674708107 
 04/03  11:00:00,621.5704847665121,419.90352816004136,149388.44316288207 
 04/03  12:00:00,438.0579710779078,306.4056096738938,152064.60981785283 
 04/03  13:00:00,439.16157562159295,300.08966814984827,146604.44664969928 
 04/03  14:00:00,517.556438105184,335.48099580716515,141836.00802219148 
 04/03  15:00:00,482.05110502675719,301.5025119483441,149182.70520916602 
 04/03  16:00:00,393.2929573286622,241.97452112705188,137581.76973113919 
 04/03  17:00:00,235.53356853904959,144.37429555438335,115345.13332291809 
 04/03  18:00:00,43.72935284133728,26.224262962128397,36963.018297765804 
 04/03  19:00:00,0.0,0.0,17142.862610102766 
 04/03  20:00:00,0.0,0.0,6221.441558245283 
 04/03  21:00:00,0.0,0.0,5600.347494954167 
 04/03  22:00:00,0.0,0.0,7729.517653131992 
 04/03  23:00:00,0.0,0.0,7644.649791399043 
 04/03  24:00:00,0.0,0.0,7612.832516491931 
 04/04  01:00:00,0.0,0.0,7589.046183086736 
 04/04  02:00:00,0.0,0.0,7564.23256675816 
 04/04  03:00:00,0.0,0.0,7537.374208100486 
 04/04  04:00:00,0.0,0.0,7509.230476894895 
 04/04  05:00:00,0.0,0.0,7487.531286480341 
 04/04  06:00:00,15.922993774330826,10.464650211966108,7478.965944108803 
 04/04  07:00:00,128.21703864059325,84.38641440412288,7537.3528607884 
 04/04  08:00:00,308.0554432127797,198.41957955505095,14438.929853345457 
 04/04  09:00:00,487.083280360042,315.6009030325029,97701.03786680194 
 04/04  10:00:00,548.639615400226,360.889636421075,133711.5777160652 
 04/04  11:00:00,527.8832516033399,353.7479827897082,136355.83538302559 
 04/04  12:00:00,473.377935114695,319.54940218382429,132093.9761097978 
 04/04  13:00:00,451.5951092713155,302.5554006691616,130894.25665358266 
 04/04  14:00:00,448.07739693994287,292.4158594244787,142547.7122069742 
 04/04  15:00:00,437.46384348982277,277.4113526075634,153728.27019181706 
 04/04  16:00:00,344.1484067643806,215.08834705570374,155051.64449816766 
 04/04  17:00:00,191.95282903797046,120.27913472895303,143161.9145670001 
 04/04  18:00:00,28.862601925770347,17.919459542942034,70014.25016576494 
 04/04  19:00:00,0.0,0.0,47552.13504206485 
 04/04  20:00:00,0.0,0.0,31998.517400220688 
 04/04  21:00:00,0.0,0.0,5487.198048943402 
 04/04  22:00:00,0.0,0.0,7739.482308547568 
 04/04  23:00:00,0.0,0.0,7656.744385032082 
 04/04  24:00:00,0.0,0.0,7629.150972802111 
 04/05  01:00:00,0.0,0.0,7625.266615849963 
 04/05  02:00:00,0.0,0.0,7621.936422737518 
 04/05  03:00:00,0.0,0.0,7604.902992513796 
 04/05  04:00:00,0.0,0.0,7564.3208262213075 
 04/05  05:00:00,0.0,0.0,7518.363176347833 
 04/05  06:00:00,30.233436369088225,19.729649732943157,7499.875586233474 
 04/05  07:00:00,239.36214218208455,162.84822182418189,7533.4895201087065 
 04/05  08:00:00,451.9482500883875,294.1705613321853,16047.414294601716 
 04/05  09:00:00,627.236888925128,407.01293643553256,98996.93924522645 
 04/05  10:00:00,646.4610309486444,425.87836888698629,114070.6041224462 
